from,to,weight
Platzeck,SPD,1
Pofalla ,CDU ,2
Pofalla ,Industrie ,3
Praetorius,Wissen,3
Tillich,CDU ,2
Hasselfeldt,CSU,2
Hasselfeldt,Sozial,3
Kampeter,CDU ,2
Kampeter,Verband,2
Kapferer,Verband,3
Kapferer,FDP,2
Kempf,Verband,3
Nemat,Industrie ,2
Reiche,Verband,3
Reiche,CDU ,1
Roestel,Industrie,2
Roestel,Energie,3
Schweitzer,Verband,3
Grothus,Umwelt,1
Wodtke,CDU ,1
Wodtke,Regional,1
Herntier,Regional,1
Herntier,Politik,2
Kreuzberg,CDU ,1
Kreuzberg,Regional,2
Priggen,Gruene,1
Priggen,Regional,2
Vassiliadis,Gewerk,3
Vassiliadis,SPD,2
Scheidt,Gewerk,3
Scheidt,SPD,2
Scheidt,Energie,2
Koerzell,SPD,2
Koerzell,Gewerk,3
Kaiser,Umwelt,3
Weiger,Umwelt,3
Weiger,Politik,2
Niebert,Umwelt,3
Niebert,Wissen,2
Allmendinger,Wissen,3
Matthes,Wissen,3
Matthes,Umwelt,3
Schellnhuber,Wissen,3
Schellnhuber,Umwelt,3
Niebuhr,Wissen,2
Wehrspohn,Wissen,3
Laemmel,CDU ,2
Lenz,CSU,2
Miersch,SPD,2
